1, forest, regions_unexplored:alpha_grove, minecraft:allay, CREATURE, 5, 1, 1
26, forest, regions_unexplored:alpha_grove, minecraft:skeleton, MONSTER, 5, 1, 2
27, forest, regions_unexplored:alpha_grove, minecraft:spider, MONSTER, 5, 1, 2
28, forest, regions_unexplored:alpha_grove, minecraft:witch, MONSTER, 3, 1, 1
29, forest, regions_unexplored:alpha_grove, minecraft:zombie, MONSTER, 10, 1, 2
30, forest, regions_unexplored:alpha_grove, minecraft:zombie_villager, MONSTER, 5, 1, 1
31, forest, regions_unexplored:alpha_grove, mutantmonsters:mutant_zombie, MONSTER, 2, 1, 1
32, forest, regions_unexplored:alpha_grove, graveyard:reaper, MONSTER, 3, 1, 1
33, forest, regions_unexplored:alpha_grove, graveyard:corrupted_pillager, MONSTER, 5, 1, 2
34, forest, regions_unexplored:alpha_grove, graveyard:skeleton_creeper, MONSTER, 3, 1, 1
35, forest, regions_unexplored:alpha_grove, graveyard:ghoul, MONSTER, 5, 1, 2
36, forest, regions_unexplored:alpha_grove, graveyard:revenant, MONSTER, 5, 1, 2
37, forest, regions_unexplored:alpha_grove, graveyard:wraith, MONSTER, 3, 1, 1
38, forest, regions_unexplored:alpha_grove, graveyard:nightmare, MONSTER, 2, 1, 1
39, forest, regions_unexplored:alpha_grove, iceandfire:troll, MONSTER, 2, 1, 1
40, forest, regions_unexplored:alpha_grove, born_in_chaos_v1:decaying_zombie, MONSTER, 5, 1, 2
41, forest, regions_unexplored:alpha_grove, born_in_chaos_v1:baby_skeleton, MONSTER, 3, 1, 1
42, forest, regions_unexplored:alpha_grove, born_in_chaos_v1:barrel_zombie, MONSTER, 5, 1, 2
43, forest, regions_unexplored:alpha_grove, born_in_chaos_v1:phantom_creeper, MONSTER, 2, 1, 1
44, forest, regions_unexplored:alpha_grove, born_in_chaos_v1:restless_spirit, MONSTER, 3, 1, 1
45, forest, regions_unexplored:alpha_grove, born_in_chaos_v1:bonescaller, MONSTER, 2, 1, 1
46, forest, regions_unexplored:alpha_grove, born_in_chaos_v1:bone_imp, MONSTER, 3, 1, 1
47, forest, regions_unexplored:alpha_grove, born_in_chaos_v1:dark_vortex, MONSTER, 2, 1, 1
48, forest, regions_unexplored:alpha_grove, born_in_chaos_v1:dread_hound, MONSTER, 5, 1, 2
49, forest, regions_unexplored:alpha_grove, born_in_chaos_v1:fallen_chaos_knight, MONSTER, 3, 1, 1
50, forest, regions_unexplored:alpha_grove, born_in_chaos_v1:scarlet_persecutor, MONSTER, 2, 1, 1
51, forest, regions_unexplored:alpha_grove, born_in_chaos_v1:dire_hound_leader, MONSTER, 3, 1, 1
52, forest, regions_unexplored:alpha_grove, born_in_chaos_v1:corpse_fly, MONSTER, 10, 2, 3
53, forest, regions_unexplored:alpha_grove, born_in_chaos_v1:bloody_gadfly, MONSTER, 10, 2, 3
54, forest, regions_unexplored:alpha_grove, born_in_chaos_v1:zombie_bruiser, MONSTER, 5, 1, 2
55, forest, regions_unexplored:alpha_grove, born_in_chaos_v1:zombie_lumberjack, MONSTER, 5, 1, 2
56, forest, regions_unexplored:alpha_grove, born_in_chaos_v1:siamese_skeletons, MONSTER, 3, 1, 1
57, forest, regions_unexplored:alpha_grove, born_in_chaos_v1:baby_spider, MONSTER, 5, 1, 2
58, forest, regions_unexplored:alpha_grove, born_in_chaos_v1:nightmare_stalker, MONSTER, 2, 1, 1
59, forest, regions_unexplored:alpha_grove, mowziesmobs:lantern, AMBIENT, 10, 2, 3
60, forest, regions_unexplored:alpha_grove, alexsmobs:fly, AMBIENT, 10, 2, 3

61, the_end, betterend:amber_land, betterend:dragonfly, AMBIENT, 10, 2, 3
62, the_end, betterend:amber_land, betterend:silk_moth, AMBIENT, 15, 3, 5
63, the_end, betterend:amber_land, alexsmobs:cosmic_cod, AMBIENT, 10, 2, 3
64, the_end, betterend:amber_land, betterend:end_fish, WATER_AMBIENT, 10, 2, 3
65, the_end, betterend:amber_land, betterend:cubozoa, WATER_AMBIENT, 5, 1, 2
66, the_end, betterend:amber_land, alexsmobs:endergrade, CREATURE, 10, 2, 4
67, the_end, betterend:amber_land, alexsmobs:spectre, CREATURE, 10, 2, 3
68, the_end, betterend:amber_land, alexsmobs:enderiophage, CREATURE, 10, 2, 3
69, the_end, betterend:amber_land, alexsmobs:cosmaw, CREATURE, 5, 1, 2
70, the_end, betterend:amber_land, legendarycreatures:ender_wisp, CREATURE, 10, 1, 2
71, the_end, betterend:amber_land, minecraft:enderman, MONSTER, 20, 3, 5
72, the_end, betterend:amber_land, minecraft:endermite, MONSTER, 10, 2, 3
73, the_end, betterend:amber_land, betterend:end_slime, MONSTER, 10, 2, 3
74, the_end, betterend:amber_land, betterend:shadow_walker, MONSTER, 5, 1, 2
75, the_end, betterend:amber_land, mutantmonsters:mutant_enderman, MONSTER, 1, 1, 1
76, the_end, betterend:amber_land, alexsmobs:mimicube, MONSTER, 10, 2, 3
77, the_end, betterend:amber_land, alexsmobs:farseer, MONSTER, 2, 1, 2
78, the_end, betterend:amber_land, cataclysm:endermaptera, MONSTER, 30, 2, 3
79, the_end, betterend:amber_land, endermanoverhaul:end_enderman, MONSTER, 10, 2, 3
80, the_end, betterend:amber_land, endermanoverhaul:end_islands_enderman, MONSTER, 10, 2, 3

81, none, regions_unexplored:ancient_delta, minecraft:axolotl, AXOLOTLS, 5, 2, 4
82, none, regions_unexplored:ancient_delta, minecraft:bat, AMBIENT, 40, 1, 2
83, none, regions_unexplored:ancient_delta, alexsmobs:cockroach, AMBIENT, 15, 1, 3
84, none, regions_unexplored:ancient_delta, alexsmobs:underminer, AMBIENT, 10, 1, 2
85, none, regions_unexplored:ancient_delta, quark:stoneling, CREATURE, 5, 1, 2
86, none, regions_unexplored:ancient_delta, quark:toretoise, CREATURE, 10, 1, 2
87, none, regions_unexplored:ancient_delta, minecraft:glow_squid, UNDERGROUND_WATER_CREATURE, 20, 2, 3
88, none, regions_unexplored:ancient_delta, minecraft:cave_spider, MONSTER, 15, 2, 3
89, none, regions_unexplored:ancient_delta, minecraft:creeper, MONSTER, 15, 2, 3
90, none, regions_unexplored:ancient_delta, minecraft:enderman, MONSTER, 10, 1, 2
91, none, regions_unexplored:ancient_delta, minecraft:silverfish, MONSTER, 10, 1, 3
92, none, regions_unexplored:ancient_delta, minecraft:skeleton, MONSTER, 15, 2, 3
93, none, regions_unexplored:ancient_delta, minecraft:slime, MONSTER, 20, 2, 3
94, none, regions_unexplored:ancient_delta, minecraft:spider, MONSTER, 10, 1, 2
95, none, regions_unexplored:ancient_delta, minecraft:witch, MONSTER, 5, 1, 1
96, none, regions_unexplored:ancient_delta, minecraft:zombie, MONSTER, 20, 2, 3
97, none, regions_unexplored:ancient_delta, minecraft:zombie_villager, MONSTER, 10, 2, 2
98, none, regions_unexplored:ancient_delta, mowziesmobs:grottol, MONSTER, 5, 1, 1
99, none, regions_unexplored:ancient_delta, graveyard:skeleton_creeper, MONSTER, 10, 2, 3
100, none, regions_unexplored:ancient_delta, graveyard:ghoul, MONSTER, 10, 2, 3
101, none, regions_unexplored:ancient_delta, graveyard:revenant, MONSTER, 5, 1, 2
102, none, regions_unexplored:ancient_delta, graveyard:nightmare, MONSTER, 5, 1, 2
103, none, regions_unexplored:ancient_delta, alexsmobs:centipede_head, MONSTER, 3, 1, 1
104, none, regions_unexplored:ancient_delta, alexsmobs:rocky_roller, MONSTER, 10, 1, 1
105, none, regions_unexplored:ancient_delta, alexsmobs:murmur, MONSTER, 1, 1, 1
106, none, regions_unexplored:ancient_delta, born_in_chaos_v1:decrepit_skeleton, MONSTER, 10, 2, 3
107, none, regions_unexplored:ancient_delta, born_in_chaos_v1:decaying_zombie, MONSTER, 15, 2, 4
108, none, regions_unexplored:ancient_delta, born_in_chaos_v1:restless_spirit, MONSTER, 10, 2, 3
109, none, regions_unexplored:ancient_delta, born_in_chaos_v1:phantom_creeper, MONSTER, 5, 1, 2
110, none, regions_unexplored:ancient_delta, born_in_chaos_v1:bone_imp, MONSTER, 5, 1, 2
111, none, regions_unexplored:ancient_delta, born_in_chaos_v1:fallen_chaos_knight, MONSTER, 5, 1, 2
112, none, regions_unexplored:ancient_delta, born_in_chaos_v1:scarlet_persecutor, MONSTER, 5, 1, 2
113, none, regions_unexplored:ancient_delta, born_in_chaos_v1:corpse_fly, MONSTER, 10, 2, 3
114, none, regions_unexplored:ancient_delta, born_in_chaos_v1:swarmer, MONSTER, 10, 2, 3
115, none, regions_unexplored:ancient_delta, born_in_chaos_v1:spiritof_chaos, MONSTER, 5, 1, 2
116, none, regions_unexplored:ancient_delta, endermanoverhaul:cave_enderman, MONSTER, 5, 1, 2
117, none, regions_unexplored:ancient_delta, quark:forgotten, MONSTER, 5, 1, 1
118, none, regions_unexplored:ancient_delta, creeperoverhaul:cave_creeper, MONSTER, 10, 2, 3

119, extreme_hills, regions_unexplored:arid_mountains, minecraft:cow, CREATURE, 20, 2, 3
120, extreme_hills, regions_unexplored:arid_mountains, minecraft:donkey, CREATURE, 10, 2, 2
121, extreme_hills, regions_unexplored:arid_mountains, minecraft:fox, CREATURE, 15, 2, 3
122, extreme_hills, regions_unexplored:arid_mountains, minecraft:goat, CREATURE, 30, 3, 5
123, extreme_hills, regions_unexplored:arid_mountains, minecraft:horse, CREATURE, 10, 2, 2
124, extreme_hills, regions_unexplored:arid_mountains, minecraft:pig, CREATURE, 15, 2, 3
125, extreme_hills, regions_unexplored:arid_mountains, minecraft:sheep, CREATURE, 20, 2, 4
126, extreme_hills, regions_unexplored:arid_mountains, iceandfire:hippogryph, CREATURE, 5, 1, 2
127, extreme_hills, regions_unexplored:arid_mountains, legendarycreatures:wisp, CREATURE, 5, 1, 1
128, extreme_hills, regions_unexplored:arid_mountains, minecraft:creeper, MONSTER, 10, 2, 3
129, extreme_hills, regions_unexplored:arid_mountains, minecraft:enderman, MONSTER, 5, 1, 2
130, extreme_hills, regions_unexplored:arid_mountains, minecraft:skeleton, MONSTER, 15, 2, 3
131, extreme_hills, regions_unexplored:arid_mountains, minecraft:spider, MONSTER, 10, 2, 3
132, extreme_hills, regions_unexplored:arid_mountains, born_in_chaos_v1:decaying_zombie, MONSTER, 10, 2, 3
133, extreme_hills, regions_unexplored:arid_mountains, born_in_chaos_v1:fallen_chaos_knight, MONSTER, 5, 1, 2
134, extreme_hills, regions_unexplored:arid_mountains, born_in_chaos_v1:scarlet_persecutor, MONSTER, 5, 1, 2
135, extreme_hills, regions_unexplored:arid_mountains, born_in_chaos_v1:zombie_clown, MONSTER, 10, 2, 3
136, extreme_hills, regions_unexplored:arid_mountains, born_in_chaos_v1:dire_hound_leader, MONSTER, 5, 1, 1
137, extreme_hills, regions_unexplored:arid_mountains, born_in_chaos_v1:corpse_fly, MONSTER, 10, 2, 3
138, extreme_hills, regions_unexplored:arid_mountains, born_in_chaos_v1:swarmer, MONSTER, 10, 2, 3
139, extreme_hills, regions_unexplored:arid_mountains, born_in_chaos_v1:zombie_bruiser, MONSTER, 15, 2, 4
140, extreme_hills, regions_unexplored:arid_mountains, born_in_chaos_v1:nightmare_stalker, MONSTER, 5, 1, 1
141, extreme_hills, regions_unexplored:arid_mountains, endermanoverhaul:windswept_hills_enderman, MONSTER, 5, 1, 2
142, extreme_hills, regions_unexplored:arid_mountains, creeperoverhaul:hills_creeper, MONSTER, 10, 2, 3

143, none, regions_unexplored:ashen_woodland, minecraft:allay, CREATURE, 5, 1, 1
144, none, regions_unexplored:ashen_woodland, minecraft:bee, CREATURE, 15, 2, 4
145, none, regions_unexplored:ashen_woodland, minecraft:chicken, CREATURE, 25, 2, 4
146, none, regions_unexplored:ashen_woodland, minecraft:cow, CREATURE, 20, 2, 3
147, none, regions_unexplored:ashen_woodland, minecraft:donkey, CREATURE, 5, 1, 2
148, none, regions_unexplored:ashen_woodland, minecraft:horse, CREATURE, 5, 1, 2
149, none, regions_unexplored:ashen_woodland, minecraft:mooshroom, CREATURE, 2, 1, 1
150, none, regions_unexplored:ashen_woodland, minecraft:mule, CREATURE, 5, 1, 1
151, none, regions_unexplored:ashen_woodland, minecraft:pig, CREATURE, 25, 2, 4
152, none, regions_unexplored:ashen_woodland, minecraft:rabbit, CREATURE, 15, 2, 3
153, none, regions_unexplored:ashen_woodland, minecraft:sheep, CREATURE, 25, 2, 4
154, none, regions_unexplored:ashen_woodland, minecraft:wolf, CREATURE, 15, 2, 3
155, none, regions_unexplored:ashen_woodland, alexsmobs:grizzly_bear, CREATURE, 5, 1, 2
156, none, regions_unexplored:ashen_woodland, alexsmobs:hummingbird, CREATURE, 15, 2, 3
157, none, regions_unexplored:ashen_woodland, alexsmobs:raccoon, CREATURE, 10, 2, 3
158, none, regions_unexplored:ashen_woodland, alexsmobs:crow, CREATURE, 10, 2, 3
159, none, regions_unexplored:ashen_woodland, alexsmobs:bald_eagle, CREATURE, 5, 1, 2
160, none, regions_unexplored:ashen_woodland, alexsmobs:bunfungus, CREATURE, 5, 1, 2
161, none, regions_unexplored:ashen_woodland, alexsmobs:sugar_glider, CREATURE, 10, 2, 3
162, none, regions_unexplored:ashen_woodland, legendarycreatures:forest_mojo, CREATURE, 5, 1, 2
163, none, regions_unexplored:ashen_woodland, legendarycreatures:hound, CREATURE, 15, 1, 2
164, none, regions_unexplored:ashen_woodland, legendarycreatures:wisp, CREATURE, 10, 2, 3
165, none, regions_unexplored:ashen_woodland, minecraft:creeper, MONSTER, 10, 1, 2
166, none, regions_unexplored:ashen_woodland, minecraft:enderman, MONSTER, 5, 1, 1
167, none, regions_unexplored:ashen_woodland, minecraft:pillager, MONSTER, 5, 1, 2
168, none, regions_unexplored:ashen_woodland, minecraft:skeleton, MONSTER, 5, 1, 2
169, none, regions_unexplored:ashen_woodland, minecraft:spider, MONSTER, 5, 1, 2
170, none, regions_unexplored:ashen_woodland, minecraft:witch, MONSTER, 3, 1, 1
171, none, regions_unexplored:ashen_woodland, minecraft:zombie, MONSTER, 10, 1, 2
172, none, regions_unexplored:ashen_woodland, minecraft:zombie_villager, MONSTER, 5, 1, 1
173, none, regions_unexplored:ashen_woodland, mutantmonsters:mutant_zombie, MONSTER, 2, 1, 1
174, none, regions_unexplored:ashen_woodland, graveyard:reaper, MONSTER, 3, 1, 1
175, none, regions_unexplored:ashen_woodland, graveyard:corrupted_pillager, MONSTER, 5, 1, 2
176, none, regions_unexplored:ashen_woodland, graveyard:skeleton_creeper, MONSTER, 3, 1, 1
177, none, regions_unexplored:ashen_woodland, graveyard:ghoul, MONSTER, 5, 1, 2
178, none, regions_unexplored:ashen_woodland, graveyard:revenant, MONSTER, 5, 1, 2
179, none, regions_unexplored:ashen_woodland, graveyard:wraith, MONSTER, 3, 1, 1
180, none, regions_unexplored:ashen_woodland, graveyard:nightmare, MONSTER, 2, 1, 1
181, none, regions_unexplored:ashen_woodland, iceandfire:troll, MONSTER, 2, 1, 1
182, none, regions_unexplored:ashen_woodland, born_in_chaos_v1:decaying_zombie, MONSTER, 5, 1, 2
183, none, regions_unexplored:ashen_woodland, born_in_chaos_v1:baby_skeleton, MONSTER, 3, 1, 1
184, none, regions_unexplored:ashen_woodland, born_in_chaos_v1:barrel_zombie, MONSTER, 5, 1, 2
185, none, regions_unexplored:ashen_woodland, born_in_chaos_v1:phantom_creeper, MONSTER, 2, 1, 1
186, none, regions_unexplored:ashen_woodland, born_in_chaos_v1:restless_spirit, MONSTER, 3, 1, 1
187, none, regions_unexplored:ashen_woodland, born_in_chaos_v1:bonescaller, MONSTER, 2, 1, 1
188, none, regions_unexplored:ashen_woodland, born_in_chaos_v1:bone_imp, MONSTER, 3, 1, 1
189, none, regions_unexplored:ashen_woodland, born_in_chaos_v1:dark_vortex, MONSTER, 2, 1, 1
190, none, regions_unexplored:ashen_woodland, born_in_chaos_v1:dread_hound, MONSTER, 5, 1, 2
191, none, regions_unexplored:ashen_woodland, born_in_chaos_v1:fallen_chaos_knight, MONSTER, 3, 1, 1
192, none, regions_unexplored:ashen_woodland, born_in_chaos_v1:scarlet_persecutor, MONSTER, 2, 1, 1
193, none, regions_unexplored:ashen_woodland, born_in_chaos_v1:dire_hound_leader, MONSTER, 3, 1, 1
194, none, regions_unexplored:ashen_woodland, born_in_chaos_v1:corpse_fly, MONSTER, 10, 2, 3
195, none, regions_unexplored:ashen_woodland, born_in_chaos_v1:bloody_gadfly, MONSTER, 10, 2, 3
196, none, regions_unexplored:ashen_woodland, born_in_chaos_v1:zombie_bruiser, MONSTER, 5, 1, 2
197, none, regions_unexplored:ashen_woodland, born_in_chaos_v1:zombie_lumberjack, MONSTER, 5, 1, 2
198, none, regions_unexplored:ashen_woodland, born_in_chaos_v1:siamese_skeletons, MONSTER, 3, 1, 1
199, none, regions_unexplored:ashen_woodland, born_in_chaos_v1:baby_spider, MONSTER, 5, 1, 2
200, none, regions_unexplored:ashen_woodland, born_in_chaos_v1:nightmare_stalker, MONSTER, 2, 1, 1
201, none, regions_unexplored:ashen_woodland, mowziesmobs:lantern, AMBIENT, 10, 2, 3
202, none, regions_unexplored:ashen_woodland, alexsmobs:fly, AMBIENT, 10, 2, 3

203, none, biomesoplenty:auroral_garden, minecraft:chicken, CREATURE, 15, 2, 4
204, none, biomesoplenty:auroral_garden, minecraft:cow, CREATURE, 20, 2, 3
205, none, biomesoplenty:auroral_garden, minecraft:donkey, CREATURE, 5, 1, 2
206, none, biomesoplenty:auroral_garden, minecraft:fox, CREATURE, 20, 3, 5
207, none, biomesoplenty:auroral_garden, minecraft:frog, CREATURE, 10, 2, 3
208, none, biomesoplenty:auroral_garden, minecraft:mule, CREATURE, 5, 1, 2
209, none, biomesoplenty:auroral_garden, minecraft:pig, CREATURE, 15, 2, 4
210, none, biomesoplenty:auroral_garden, minecraft:sheep, CREATURE, 15, 2, 4
211, none, biomesoplenty:auroral_garden, minecraft:wolf, CREATURE, 20, 3, 5
212, none, biomesoplenty:auroral_garden, alexsmobs:moose, CREATURE, 10, 2, 2
213, none, biomesoplenty:auroral_garden, alexsmobs:raccoon, CREATURE, 5, 1, 1
214, none, biomesoplenty:auroral_garden, alexsmobs:snow_leopard, CREATURE, 5, 1, 2
215, none, biomesoplenty:auroral_garden, alexsmobs:crow, CREATURE, 10, 1, 2
216, none, biomesoplenty:auroral_garden, alexsmobs:sugar_glider, CREATURE, 10, 2, 3
217, none, biomesoplenty:auroral_garden, alexsmobs:potoo, CREATURE, 25, 4, 5
218, none, biomesoplenty:auroral_garden, legendarycreatures:wisp, CREATURE, 5, 1, 1
219, none, biomesoplenty:auroral_garden, aquamirae:golden_moth, AMBIENT, 1, 1, 2
220, none, biomesoplenty:auroral_garden, alexsmobs:fly, AMBIENT, 15, 3, 5
221, none, biomesoplenty:auroral_garden, minecraft:creeper, MONSTER, 10, 1, 3
222, none, biomesoplenty:auroral_garden, minecraft:enderman, MONSTER, 5, 1, 2
223, none, biomesoplenty:auroral_garden, minecraft:skeleton, MONSTER, 15, 1, 3
224, none, biomesoplenty:auroral_garden, minecraft:spider, MONSTER, 10, 2, 3
225, none, biomesoplenty:auroral_garden, minecraft:stray, MONSTER, 15, 3, 5
226, none, biomesoplenty:auroral_garden, minecraft:witch, MONSTER, 5, 1, 2
227, none, biomesoplenty:auroral_garden, minecraft:zombie, MONSTER, 20, 3, 5
228, none, biomesoplenty:auroral_garden, minecraft:zombie_villager, MONSTER, 10, 2, 3
229, none, biomesoplenty:auroral_garden, graveyard:acolyte, MONSTER, 5, 1, 2
230, none, biomesoplenty:auroral_garden, graveyard:corrupted_vindicator, MONSTER, 5, 1, 2
231, none, biomesoplenty:auroral_garden, graveyard:corrupted_pillager, MONSTER, 5, 1, 2
232, none, biomesoplenty:auroral_garden, graveyard:skeleton_creeper, MONSTER, 10, 2, 3
233, none, biomesoplenty:auroral_garden, graveyard:ghoul, MONSTER, 10, 2, 3
234, none, biomesoplenty:auroral_garden, graveyard:revenant, MONSTER, 5, 1, 2
235, none, biomesoplenty:auroral_garden, graveyard:wraith, MONSTER, 5, 1, 2
236, none, biomesoplenty:auroral_garden, born_in_chaos_v1:decrepit_skeleton, MONSTER, 10, 2, 3
237, none, biomesoplenty:auroral_garden, born_in_chaos_v1:restless_spirit, MONSTER, 5, 1, 2
238, none, biomesoplenty:auroral_garden, born_in_chaos_v1:bone_imp, MONSTER, 5, 1, 2
239, none, biomesoplenty:auroral_garden, born_in_chaos_v1:dread_hound, MONSTER, 10, 2, 3
240, none, biomesoplenty:auroral_garden, born_in_chaos_v1:fallen_chaos_knight, MONSTER, 5, 1, 2
241, none, biomesoplenty:auroral_garden, born_in_chaos_v1:dire_hound_leader, MONSTER, 5, 1, 2
242, none, biomesoplenty:auroral_garden, born_in_chaos_v1:corpse_fly, MONSTER, 10, 2, 3
243, none, biomesoplenty:auroral_garden, born_in_chaos_v1:zombie_bruiser, MONSTER, 15, 3, 5
244, none, biomesoplenty:auroral_garden, born_in_chaos_v1:missioner, MONSTER, 5, 1, 2
245, none, biomesoplenty:auroral_garden, born_in_chaos_v1:nightmare_stalker, MONSTER, 5, 1, 1
246, none, biomesoplenty:auroral_garden, endermanoverhaul:snowy_enderman, MONSTER, 5, 1, 2
247, none, biomesoplenty:auroral_garden, irons_spellbooks:necromancer, MONSTER, 1, 1, 1
248, none, biomesoplenty:auroral_garden, creeperoverhaul:spruce_creeper, MONSTER, 10, 2, 3
249, none, biomesoplenty:auroral_garden, mutantmonsters:mutant_skeleton, MONSTER, 1, 1, 1

250, forest, regions_unexplored:autumnal_maple_forest, minecraft:allay, CREATURE, 5, 1, 1
251, forest, regions_unexplored:autumnal_maple_forest, minecraft:bee, CREATURE, 15, 2, 4
252, forest, regions_unexplored:autumnal_maple_forest, minecraft:chicken, CREATURE, 25, 2, 4
253, forest, regions_unexplored:autumnal_maple_forest, minecraft:cow, CREATURE, 20, 2, 3
254, forest, regions_unexplored:autumnal_maple_forest, minecraft:donkey, CREATURE, 5, 1, 2
255, forest, regions_unexplored:autumnal_maple_forest, minecraft:horse, CREATURE, 5, 1, 2
256, forest, regions_unexplored:autumnal_maple_forest, minecraft:mooshroom, CREATURE, 2, 1, 1
257, forest, regions_unexplored:autumnal_maple_forest, minecraft:mule, CREATURE, 5, 1, 1
258, forest, regions_unexplored:autumnal_maple_forest, minecraft:pig, CREATURE, 25, 2, 4
259, forest, regions_unexplored:autumnal_maple_forest, minecraft:rabbit, CREATURE, 15, 2, 3
260, forest, regions_unexplored:autumnal_maple_forest, minecraft:sheep, CREATURE, 25, 2, 4
261, forest, regions_unexplored:autumnal_maple_forest, minecraft:wolf, CREATURE, 15, 2, 3
262, forest, regions_unexplored:autumnal_maple_forest, alexsmobs:grizzly_bear, CREATURE, 5, 1, 2
263, forest, regions_unexplored:autumnal_maple_forest, alexsmobs:hummingbird, CREATURE, 15, 2, 3
264, forest, regions_unexplored:autumnal_maple_forest, alexsmobs:raccoon, CREATURE, 10, 2, 3
265, forest, regions_unexplored:autumnal_maple_forest, alexsmobs:crow, CREATURE, 10, 2, 3
266, forest, regions_unexplored:autumnal_maple_forest, alexsmobs:bald_eagle, CREATURE, 5, 1, 2
267, forest, regions_unexplored:autumnal_maple_forest, alexsmobs:bunfungus, CREATURE, 5, 1, 2
268, forest, regions_unexplored:autumnal_maple_forest, alexsmobs:sugar_glider, CREATURE, 10, 2, 3
269, forest, regions_unexplored:autumnal_maple_forest, legendarycreatures:forest_mojo, CREATURE, 5, 1, 2
270, forest, regions_unexplored:autumnal_maple_forest, legendarycreatures:hound, CREATURE, 15, 1, 2
271, forest, regions_unexplored:autumnal_maple_forest, legendarycreatures:wisp, CREATURE, 10, 2, 3
272, forest, regions_unexplored:autumnal_maple_forest, minecraft:creeper, MONSTER, 10, 1, 2
273, forest, regions_unexplored:autumnal_maple_forest, minecraft:enderman, MONSTER, 5, 1, 1
274, forest, regions_unexplored:autumnal_maple_forest, minecraft:pillager, MONSTER, 5, 1, 2
275, forest, regions_unexplored:autumnal_maple_forest, minecraft:skeleton, MONSTER, 5, 1, 2
276, forest, regions_unexplored:autumnal_maple_forest, minecraft:spider, MONSTER, 5, 1, 2
277, forest, regions_unexplored:autumnal_maple_forest, minecraft:witch, MONSTER, 3, 1, 1
278, forest, regions_unexplored:autumnal_maple_forest, minecraft:zombie, MONSTER, 10, 1, 2
279, forest, regions_unexplored:autumnal_maple_forest, minecraft:zombie_villager, MONSTER, 5, 1, 1
280, forest, regions_unexplored:autumnal_maple_forest, mutantmonsters:mutant_zombie, MONSTER, 2, 1, 1
281, forest, regions_unexplored:autumnal_maple_forest, graveyard:reaper, MONSTER, 3, 1, 1
282, forest, regions_unexplored:autumnal_maple_forest, graveyard:corrupted_pillager, MONSTER, 5, 1, 2
283, forest, regions_unexplored:autumnal_maple_forest, graveyard:skeleton_creeper, MONSTER, 3, 1, 1
284, forest, regions_unexplored:autumnal_maple_forest, graveyard:ghoul, MONSTER, 5, 1, 2
285, forest, regions_unexplored:autumnal_maple_forest, graveyard:revenant, MONSTER, 5, 1, 2
286, forest, regions_unexplored:autumnal_maple_forest, graveyard:wraith, MONSTER, 3, 1, 1
287, forest, regions_unexplored:autumnal_maple_forest, graveyard:nightmare, MONSTER, 2, 1, 1
288, forest, regions_unexplored:autumnal_maple_forest, iceandfire:troll, MONSTER, 2, 1, 1
289, forest, regions_unexplored:autumnal_maple_forest, born_in_chaos_v1:decaying_zombie, MONSTER, 5, 1, 2
290, forest, regions_unexplored:autumnal_maple_forest, born_in_chaos_v1:baby_skeleton, MONSTER, 3, 1, 1
